Geo,Year,Geo_ID,PUMS_Column,PUMS_Estimate,PUMS_MOE,ACS_Estimate,ACS_MOE,Difference
councildist_2023,2023,43,DECADE7_E,23295.0,1147.747206129498,29613.0,1808.0,-6318.0
councildist_2023,2023,44,DECADE7_E,15383.0,882.3772254302703,11217.0,991.0,4166.0
councildist_2023,2023,19,DECADE8_E,22282.0,1662.0128360746717,14074.0,1420.0,8208.0
councildist_2023,2023,20,DECADE8_E,26220.0,2218.939426922599,34858.0,2739.0,-8638.0
councildist_2023,2023,22,DECADE8_E,19549.0,1707.316142386971,16288.0,1428.0,3261.0
councildist_2023,2023,32,DECADE8_E,18143.0,1054.7431422291604,14720.0,1415.0,3423.0
councildist_2023,2023,43,DECADE8_E,26447.0,1584.0129250411892,32727.0,2404.0,-6280.0
councildist_2023,2023,44,DECADE8_E,18991.0,1072.0147092236978,15793.0,1462.0,3198.0
councildist_2023,2023,48,DECADE8_E,23683.0,1517.736956855942,29617.0,1991.0,-5934.0
councildist_2023,2023,33,DIS1_E,15725.0,846.7773275740344,10525.0,828.0,5200.0
councildist_2023,2023,37,DIS1_E,20704.0,1102.9970637740134,17374.0,1203.0,3330.0
councildist_2023,2023,26,"DIS_AGEWith a disability, 18-64 years_E",4702.0,533.5845158126311,5929.0,690.0,-1227.0
councildist_2023,2023,33,"DIS_AGEWith a disability, 18-64 years_E",7560.0,586.0261541094804,5193.0,600.0,2367.0
councildist_2023,2023,34,"DIS_AGEWith a disability, 18-64 years_E",7611.0,600.1886927928037,9145.0,851.0,-1534.0
councildist_2023,2023,38,"DIS_AGEWith a disability, 18-64 years_E",6117.0,504.733880424431,7465.0,756.0,-1348.0
councildist_2023,2023,23,"DIS_AGEWith a disability, 65 years and over_E",9459.0,526.8763901435789,11459.0,1012.0,-2000.0
councildist_2023,2023,31,"DIS_AGEWith a disability, 65 years and over_E",9095.0,661.6520588367042,7489.0,752.0,1606.0
councildist_2023,2023,33,"DIS_AGEWith a disability, 65 years and over_E",7178.0,568.9952960133236,4556.0,553.0,2622.0
councildist_2023,2023,48,"DIS_AGEWith a disability, 65 years and over_E",14886.0,807.1937045255788,16791.0,1047.0,-1905.0
councildist_2023,2023,1,ENG2_E,24138.0,1619.155130574873,34148.0,2842.0,-10010.0
councildist_2023,2023,2,ENG2_E,25054.0,1538.7934973614365,16431.0,1597.0,8623.0
councildist_2023,2023,11,ENG2_E,38483.0,2039.495699061936,32614.0,2271.0,5869.0
councildist_2023,2023,19,ENG2_E,66249.0,1984.4461157776273,47123.0,2205.0,19126.0
councildist_2023,2023,20,ENG2_E,75999.0,2586.684666392486,96132.0,3836.0,-20133.0
councildist_2023,2023,21,ENG2_E,74611.0,2439.3287259106123,81225.0,3754.0,-6614.0
councildist_2023,2023,22,ENG2_E,34758.0,1810.8908083917308,30981.0,1677.0,3777.0
councildist_2023,2023,23,ENG2_E,34418.0,1265.4924529882028,40081.0,2254.0,-5663.0
councildist_2023,2023,24,ENG2_E,43777.0,2285.307771811806,50448.0,2753.0,-6671.0
councildist_2023,2023,28,ENG2_E,26354.0,1420.1293747767193,21102.0,1722.0,5252.0
councildist_2023,2023,29,ENG2_E,42101.0,2036.7663483395456,35340.0,1961.0,6761.0
councildist_2023,2023,31,ENG2_E,22582.0,1611.68330556688,17795.0,1547.0,4787.0
councildist_2023,2023,37,ENG2_E,28583.0,1765.8241836642892,35921.0,2480.0,-7338.0
councildist_2023,2023,38,ENG2_E,61998.0,1995.8588576908771,73812.0,3105.0,-11814.0
councildist_2023,2023,39,ENG2_E,33636.0,1297.686793474601,18096.0,1489.0,15540.0
councildist_2023,2023,40,ENG2_E,26598.0,1283.4953338413527,20212.0,1608.0,6386.0
councildist_2023,2023,42,ENG2_E,25800.0,1690.9198682047331,18115.0,1706.0,7685.0
councildist_2023,2023,43,ENG2_E,73033.0,2213.321197161949,91639.0,3540.0,-18606.0
councildist_2023,2023,47,ENG2_E,60512.0,2120.2266626863734,50236.0,2667.0,10276.0
councildist_2023,2023,48,ENG2_E,65464.0,2109.3357504363507,76591.0,2726.0,-11127.0
councildist_2023,2023,39,ESR1_E,88131.0,2095.3080937355753,93435.0,2411.0,-5304.0
councildist_2023,2023,40,ESR1_E,82057.0,1869.150773687663,88945.0,3202.0,-6888.0
councildist_2023,2023,44,ESR1_E,69464.0,1498.0268143590931,61261.0,2109.0,8203.0
councildist_2023,2023,33,ESR3_E,8062.0,708.2193187536886,5818.0,668.0,2244.0
councildist_2023,2023,37,ESR3_E,8142.0,743.2177977568988,6620.0,740.0,1522.0
councildist_2023,2023,43,ESR3_E,5875.0,496.6900477504333,7556.0,963.0,-1681.0
councildist_2023,2023,47,ESR4_E,320.0,100.2061805382192,21.0,99.0,299.0
councildist_2023,2023,50,ESR4_E,153.0,75.07192687568723,373.0,113.0,-220.0
councildist_2023,2023,1,FS1_E,12382.0,807.448576944951,14666.0,1330.0,-2284.0
councildist_2023,2023,2,FS1_E,15686.0,968.1373421504388,11713.0,1132.0,3973.0
councildist_2023,2023,4,FS1_E,5829.0,883.4886501195344,2477.0,535.0,3352.0
councildist_2023,2023,7,FS1_E,12280.0,943.9220817528958,14649.0,1265.0,-2369.0
councildist_2023,2023,11,FS1_E,19296.0,1033.4808116981674,15462.0,1147.0,3834.0
councildist_2023,2023,12,FS1_E,18245.0,940.8745968130096,21761.0,2164.0,-3516.0
councildist_2023,2023,14,FS1_E,28182.0,1344.731854972263,31187.0,1656.0,-3005.0
councildist_2023,2023,19,FS1_E,7260.0,589.1935635021753,5294.0,557.0,1966.0
councildist_2023,2023,21,FS1_E,10388.0,672.0510392895173,12319.0,895.0,-1931.0
councildist_2023,2023,22,FS1_E,10137.0,817.7936144416929,8298.0,858.0,1839.0
councildist_2023,2023,23,FS1_E,6577.0,425.1813967414994,5440.0,604.0,1137.0
councildist_2023,2023,25,FS1_E,12742.0,818.7658441852595,10384.0,849.0,2358.0
councildist_2023,2023,31,FS1_E,10863.0,771.2956957240438,12801.0,915.0,-1938.0
councildist_2023,2023,32,FS1_E,10627.0,626.2097540956063,7596.0,715.0,3031.0
councildist_2023,2023,33,FS1_E,13567.0,910.433409860175,9735.0,843.0,3832.0
councildist_2023,2023,34,FS1_E,13232.0,853.6273767227283,15333.0,1049.0,-2101.0
councildist_2023,2023,38,FS1_E,10321.0,497.695238757281,13373.0,857.0,-3052.0
councildist_2023,2023,39,FS1_E,10928.0,725.0152132071541,6233.0,663.0,4695.0
councildist_2023,2023,41,FS1_E,19733.0,1101.6754157358916,22598.0,1349.0,-2865.0
councildist_2023,2023,42,FS1_E,20266.0,979.182291156631,22663.0,1217.0,-2397.0
councildist_2023,2023,45,FS1_E,12204.0,666.1290236312824,10481.0,727.0,1723.0
councildist_2023,2023,46,FS1_E,9605.0,585.8514076675335,8188.0,583.0,1417.0
councildist_2023,2023,49,FS1_E,10988.0,881.6928711337442,12852.0,917.0,-1864.0
councildist_2023,2023,23,GRPIP15.0-19.9%_E,2223.0,255.23794686040867,3037.0,515.0,-814.0
councildist_2023,2023,40,GRPIP25.0-29.9%_E,5055.0,466.58316266043096,6326.0,762.0,-1271.0
councildist_2023,2023,11,GRPIP35% or more_E,25202.0,1330.4153523741336,21750.0,1254.0,3452.0
councildist_2023,2023,19,GRPIP35% or more_E,12550.0,790.2315502355253,8523.0,761.0,4027.0
councildist_2023,2023,20,GRPIP35% or more_E,14756.0,1022.8738057856516,19872.0,1397.0,-5116.0
councildist_2023,2023,32,GRPIP35% or more_E,12779.0,601.548101022046,9595.0,778.0,3184.0
